TRANSFERRING_REGISTRY_NAME,TOTAL_AMOUNT
Germany,73882379129
United Kingdom,60577881335
Netherlands,21040611120
Romania,5816035613
Denmark,5299306332
Hungary,2992431878
France ,28392634561
Sweden,2245405558
Greece,4474609912
Poland,19813803051
Slovakia,2363649707
Portugal ,3247943091
Austria,2845640111
Belgium,5254470225
Lithuania,800121842
Czech Republic,7689241308
Spain,16050047421
Finland,3142428489
Ireland ,2129331063
Italy ,17241431083
Bulgaria,2701863106
Estonia,1128910054
Croatia,379728393
Slovenia,779739261
Malta,252715113
Cyprus,181578206
Norway,1576765313
European Commission,34644330566
Iceland,44965358
Liechtenstein,148569997
Northern Ireland,39053248
Latvia,447715730
Luxembourg ,265743389
Switzerland,1500175927
Russian Federation,84274931
Ukraine,339235525
Japan,131068628
New Zealand,47516326
Australia,42435588
CDM,1126336713
Cyprus CP0,67720876
Malta CP0,27603153
