ACQUIRING_REGISTRY_NAME,TOTAL_AMOUNT
Germany,73590541380
United Kingdom,60162800702
Netherlands,21113492848
Romania,5635189674
Denmark,5339276563
Hungary,2923332200
European Commission,40302360860
Finland,3052803713
Sweden,2263877915
Poland,19166065923
Portugal ,3167717709
Slovakia,2242530186
Austria,2900066003
Belgium,5165038781
France ,28608311140
Spain,16095573797
Lithuania,726427014
Czech Republic,7426889279
Italy ,16867679019
Ireland ,2120493946
Estonia,1062455859
Bulgaria,2629227487
Croatia,384620186
Greece,4391278699
Slovenia,796514525
Cyprus,149206559
Latvia,418340335
Luxembourg ,276280153
Norway,1715043446
Malta,238675437
Northern Ireland,34670869
Iceland,46824715
Liechtenstein,149127279
Cyprus CP0,67110876
Malta CP0,27603153
